district,count,mean,median,min,max
Mitte,860,33.004011627906976,33.405,26.97,35.82
Marzahn-Hellersdorf,3296,32.45023665048544,32.8,26.0,35.65
Spandau,365,32.22380821917808,32.42,27.03,35.88
Neukölln,2241,32.07682730923695,32.3,26.44,35.59
Pankow,3841,32.07308773756834,32.35,26.11,35.78
Lichtenberg,2095,32.033766109785205,32.27,26.46,35.72
Friedrichshain-Kreuzberg,1215,31.956641975308642,32.24,26.57,35.68
Treptow-Köpenick,4112,31.73299610894942,32.13,23.11,35.82
Tempelhof-Schöneberg,2718,31.6347608535688,31.865000000000002,26.42,35.75
Charlottenburg-Wilmersdorf,2697,30.763099740452354,30.7,26.37,35.61
Reinickendorf,3084,30.70512645914397,30.515,25.93,35.67
Steglitz-Zehlendorf,3807,30.16980562122406,29.73,26.2,35.61
